run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
1,E1,AUTO,CPU_STRESS,2026-06-25T15:30:27.402803+00:00,2026-06-25T15:30:53.885039+00:00,2026-06-25T15:30:52.501607+00:00,2026-06-25T15:30:52.501607+00:00,2026-06-25T15:30:53.885039+00:00,25.44,1.01,100.0,SUCCESS,0,
2,E1,AUTO,CPU_STRESS,2026-06-25T15:31:10.396713+00:00,2026-06-25T15:31:37.503184+00:00,2026-06-25T15:31:35.999000+00:00,2026-06-25T15:31:35.999000+00:00,2026-06-25T15:31:37.503184+00:00,25.55,1.01,100.0,SUCCESS,0,
3,E1,AUTO,CPU_STRESS,2026-06-25T15:31:53.994312+00:00,2026-06-25T15:32:21.522497+00:00,2026-06-25T15:32:20.052925+00:00,2026-06-25T15:32:20.052925+00:00,2026-06-25T15:32:21.522497+00:00,25.54,1.01,100.0,SUCCESS,0,
4,E1,AUTO,CPU_STRESS,2026-06-25T15:32:38.046050+00:00,2026-06-25T15:33:04.832161+00:00,2026-06-25T15:33:03.143195+00:00,2026-06-25T15:33:03.143195+00:00,2026-06-25T15:33:04.832161+00:00,25.75,1.03,100.0,SUCCESS,0,
5,E1,AUTO,CPU_STRESS,2026-06-25T15:33:21.346240+00:00,2026-06-25T15:33:48.108243+00:00,2026-06-25T15:33:46.439642+00:00,2026-06-25T15:33:46.439642+00:00,2026-06-25T15:33:48.108243+00:00,25.74,1.01,100.0,SUCCESS,0,
