run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
6,E2,AUTO,HTTP_FLOOD,2026-06-25T15:34:04.733829+00:00,2026-06-25T15:34:07.644679+00:00,2026-06-25T15:34:05.653440+00:00,2026-06-25T15:34:05.653440+00:00,2026-06-25T15:34:07.644679+00:00,1.01,1.01,100.0,SUCCESS,0,
7,E2,AUTO,HTTP_FLOOD,2026-06-25T15:34:24.293566+00:00,2026-06-25T15:34:26.335512+00:00,2026-06-25T15:34:24.327819+00:00,2026-06-25T15:34:24.327819+00:00,2026-06-25T15:34:26.335512+00:00,1.01,1.02,100.0,SUCCESS,0,
8,E2,AUTO,HTTP_FLOOD,2026-06-25T15:34:43.352874+00:00,2026-06-25T15:34:45.386816+00:00,2026-06-25T15:34:43.416372+00:00,2026-06-25T15:34:43.416372+00:00,2026-06-25T15:34:45.386816+00:00,1.01,1.01,100.0,SUCCESS,0,
9,E2,AUTO,HTTP_FLOOD,2026-06-25T15:35:02.091179+00:00,2026-06-25T15:35:04.677994+00:00,2026-06-25T15:35:02.696323+00:00,2026-06-25T15:35:02.696323+00:00,2026-06-25T15:35:04.677994+00:00,1.01,1.01,100.0,SUCCESS,0,
10,E2,AUTO,HTTP_FLOOD,2026-06-25T15:35:21.448316+00:00,2026-06-25T15:35:23.512410+00:00,2026-06-25T15:35:21.509937+00:00,2026-06-25T15:35:21.509937+00:00,2026-06-25T15:35:23.512410+00:00,1.02,1.02,100.0,SUCCESS,0,
