run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
6,E2,MANUAL,HTTP_FLOOD,2026-06-25T15:49:49.813184+00:00,2026-06-25T15:49:51.627413+00:00,2026-06-25T15:49:50.646987+00:00,2026-06-25T15:49:50.646987+00:00,2026-06-25T15:49:50.646987+00:00,1.03,-1,100.0,MANUAL,0,
7,E2,MANUAL,HTTP_FLOOD,2026-06-25T15:50:08.150573+00:00,2026-06-25T15:50:09.625156+00:00,2026-06-25T15:50:08.641795+00:00,2026-06-25T15:50:08.641795+00:00,2026-06-25T15:50:08.641795+00:00,1.01,-1,100.0,MANUAL,0,
8,E2,MANUAL,HTTP_FLOOD,2026-06-25T15:50:26.155155+00:00,2026-06-25T15:50:28.600004+00:00,2026-06-25T15:50:27.619167+00:00,2026-06-25T15:50:27.619167+00:00,2026-06-25T15:50:27.619167+00:00,1.02,-1,100.0,MANUAL,0,
9,E2,MANUAL,HTTP_FLOOD,2026-06-25T15:50:45.340620+00:00,2026-06-25T15:50:46.639194+00:00,2026-06-25T15:50:45.679294+00:00,2026-06-25T15:50:45.679294+00:00,2026-06-25T15:50:45.679294+00:00,1.01,-1,100.0,MANUAL,0,
10,E2,MANUAL,HTTP_FLOOD,2026-06-25T15:51:03.228705+00:00,2026-06-25T15:51:04.654038+00:00,2026-06-25T15:51:03.696580+00:00,2026-06-25T15:51:03.696580+00:00,2026-06-25T15:51:03.696580+00:00,1.01,-1,100.0,MANUAL,0,
