run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
1,E4,AUTO,COMBINED,2026-06-25T15:44:01.666779+00:00,2026-06-25T15:44:07.922533+00:00,2026-06-25T15:44:03.718100+00:00,2026-06-25T15:44:03.718100+00:00,2026-06-25T15:44:07.922533+00:00,5.23,1.03,100.0,SUCCESS,0,
2,E4,AUTO,COMBINED,2026-06-25T15:44:24.517500+00:00,2026-06-25T15:44:31.469776+00:00,2026-06-25T15:44:27.203777+00:00,2026-06-25T15:44:27.203777+00:00,2026-06-25T15:44:31.469776+00:00,5.94,1.01,100.0,SUCCESS,0,
3,E4,AUTO,COMBINED,2026-06-25T15:44:47.983305+00:00,2026-06-25T15:44:54.242469+00:00,2026-06-25T15:44:50.039367+00:00,2026-06-25T15:44:50.039367+00:00,2026-06-25T15:44:54.242469+00:00,5.25,1.01,100.0,SUCCESS,0,
4,E4,AUTO,COMBINED,2026-06-25T15:45:10.776721+00:00,2026-06-25T15:45:17.858143+00:00,2026-06-25T15:45:13.642441+00:00,2026-06-25T15:45:13.642441+00:00,2026-06-25T15:45:17.858143+00:00,6.07,1.01,100.0,SUCCESS,0,
5,E4,AUTO,COMBINED,2026-06-25T15:45:34.343779+00:00,2026-06-25T15:45:40.843851+00:00,2026-06-25T15:45:36.629439+00:00,2026-06-25T15:45:36.629439+00:00,2026-06-25T15:45:40.843851+00:00,5.49,1.01,100.0,SUCCESS,0,
