run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
16,E4,MANUAL,COMBINED,2026-06-25T15:52:54.720682+00:00,2026-06-25T15:53:00.975741+00:00,2026-06-25T15:53:00.778216+00:00,2026-06-25T15:53:00.778216+00:00,2026-06-25T15:53:00.778216+00:00,6.26,-1,100.0,MANUAL,0,
17,E4,MANUAL,COMBINED,2026-06-25T15:53:17.489206+00:00,2026-06-25T15:53:22.970899+00:00,2026-06-25T15:53:19.800294+00:00,2026-06-25T15:53:19.800294+00:00,2026-06-25T15:53:19.800294+00:00,5.48,-1,100.0,MANUAL,0,
18,E4,MANUAL,COMBINED,2026-06-25T15:53:39.489118+00:00,2026-06-25T15:53:44.738609+00:00,2026-06-25T15:53:41.533869+00:00,2026-06-25T15:53:41.533869+00:00,2026-06-25T15:53:41.533869+00:00,5.25,-1,100.0,MANUAL,0,
19,E4,MANUAL,COMBINED,2026-06-25T15:54:01.248777+00:00,2026-06-25T15:54:06.486471+00:00,2026-06-25T15:54:03.298771+00:00,2026-06-25T15:54:03.298771+00:00,2026-06-25T15:54:03.298771+00:00,5.24,-1,100.0,MANUAL,0,
20,E4,MANUAL,COMBINED,2026-06-25T15:54:22.987075+00:00,2026-06-25T15:54:28.816454+00:00,2026-06-25T15:54:25.615138+00:00,2026-06-25T15:54:25.615138+00:00,2026-06-25T15:54:25.615138+00:00,5.83,-1,100.0,MANUAL,0,
