run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
11,E3,MANUAL,POD_KILL,2026-06-25T15:51:21.447072+00:00,2026-06-25T15:51:27.135867+00:00,2026-06-25T15:51:26.777491+00:00,2026-06-25T15:51:26.777491+00:00,2026-06-25T15:51:26.777491+00:00,5.58,-1,100.0,MANUAL,0,
12,E3,MANUAL,POD_KILL,2026-06-25T15:51:43.711530+00:00,2026-06-25T15:51:44.924534+00:00,2026-06-25T15:51:43.953572+00:00,2026-06-25T15:51:43.953572+00:00,2026-06-25T15:51:43.953572+00:00,1.12,-1,100.0,MANUAL,0,
13,E3,MANUAL,POD_KILL,2026-06-25T15:52:01.444444+00:00,2026-06-25T15:52:02.664441+00:00,2026-06-25T15:52:01.673376+00:00,2026-06-25T15:52:01.673376+00:00,2026-06-25T15:52:01.673376+00:00,1.13,-1,100.0,MANUAL,0,
14,E3,MANUAL,POD_KILL,2026-06-25T15:52:19.196863+00:00,2026-06-25T15:52:20.423216+00:00,2026-06-25T15:52:19.429473+00:00,2026-06-25T15:52:19.429473+00:00,2026-06-25T15:52:19.429473+00:00,1.14,-1,100.0,MANUAL,0,
15,E3,MANUAL,POD_KILL,2026-06-25T15:52:36.943528+00:00,2026-06-25T15:52:38.174382+00:00,2026-06-25T15:52:37.179958+00:00,2026-06-25T15:52:37.179958+00:00,2026-06-25T15:52:37.179958+00:00,1.14,-1,100.0,MANUAL,0,
