run_id,scenario,mode,attack_type,attack_start,attack_end,detect_time,heal_start,heal_end,mttd_seconds,mttr_seconds,uptime_percent,heal_status,false_positives,notes
1,E3,AUTO,POD_KILL,2026-06-25T15:41:57.613170+00:00,2026-06-25T15:42:09.979850+00:00,2026-06-25T15:42:07.956944+00:00,2026-06-25T15:42:07.956944+00:00,2026-06-25T15:42:09.979850+00:00,11.26,1.01,100.0,SUCCESS,0,
2,E3,AUTO,POD_KILL,2026-06-25T15:42:26.727245+00:00,2026-06-25T15:42:28.952171+00:00,2026-06-25T15:42:26.941007+00:00,2026-06-25T15:42:26.941007+00:00,2026-06-25T15:42:28.952171+00:00,1.11,1.02,100.0,FAILED,0,
3,E3,AUTO,POD_KILL,2026-06-25T15:42:45.445812+00:00,2026-06-25T15:42:47.687392+00:00,2026-06-25T15:42:45.682872+00:00,2026-06-25T15:42:45.682872+00:00,2026-06-25T15:42:47.687392+00:00,1.14,1.01,100.0,FAILED,0,
4,E3,AUTO,POD_KILL,2026-06-25T15:43:04.183968+00:00,2026-06-25T15:43:06.409576+00:00,2026-06-25T15:43:04.408482+00:00,2026-06-25T15:43:04.408482+00:00,2026-06-25T15:43:06.409576+00:00,1.13,1.01,100.0,FAILED,0,
5,E3,AUTO,POD_KILL,2026-06-25T15:43:22.928616+00:00,2026-06-25T15:43:25.157057+00:00,2026-06-25T15:43:23.153468+00:00,2026-06-25T15:43:23.153468+00:00,2026-06-25T15:43:25.157057+00:00,1.12,1.02,100.0,FAILED,0,
